#Este es un comentario sobre el archivo
#Sirve de ejemplo para diferenciar un comentario de una cabecera
Tiempo 	 Velocidad
0 	 1.0000 
1 	 1.8333 
2 	 1.9091 
3 	 1.9375 
4 	 1.9524 
5 	 1.9615 
6 	 1.9677 
7 	 1.9722 
8 	 1.9756 
9 	 1.9783 
10 	 1.9804 
11 	 1.9821 
12 	 1.9836 
13 	 1.9848 
14 	 1.9859 
15 	 1.9868 
16 	 1.9877 
17 	 1.9884 
18 	 1.9890 
19 	 1.9896 
20 	 1.9901 
21 	 1.9906 
22 	 1.9910 
23 	 1.9914 
24 	 1.9917 
25 	 1.9921 
26 	 1.9924 
27 	 1.9926 
28 	 1.9929 
29 	 1.9932 
30 	 1.9934 
31 	 1.9936 
32 	 1.9938 
33 	 1.9940 
34 	 1.9942 
35 	 1.9943 
36 	 1.9945 
37 	 1.9946 
38 	 1.9948 
39 	 1.9949 
40 	 1.9950 
41 	 1.9951 
42 	 1.9953 
43 	 1.9954 
44 	 1.9955 
45 	 1.9956 
46 	 1.9957 
47 	 1.9958 
48 	 1.9959 
49 	 1.9959 
50 	 1.9960 
51 	 1.9961 
52 	 1.9962 
53 	 1.9962 
54 	 1.9963 
55 	 1.9964 
56 	 1.9964 
57 	 1.9965 
58 	 1.9966 
59 	 1.9966 
