N 	 x 	 y(x) 	 yi
0 	 0.000000 	 0.333333 	 0.333333
1 	 0.050000 	 0.310196 	 0.321150
2 	 0.100000 	 0.254321 	 0.270230
3 	 0.150000 	 0.183773 	 0.200253
4 	 0.200000 	 0.112569 	 0.126901
5 	 0.250000 	 0.050191 	 0.061080
6 	 0.300000 	 0.001847 	 0.009055
7 	 0.350000 	 -0.030799 	 -0.026836
8 	 0.400000 	 -0.048675 	 -0.047185
9 	 0.450000 	 -0.054324 	 -0.054459
10 	 0.500000 	 -0.051041 	 -0.052048
11 	 0.550000 	 -0.042199 	 -0.043501
12 	 0.600000 	 -0.030780 	 -0.032002
13 	 0.650000 	 -0.019121 	 -0.020070
14 	 0.700000 	 -0.008817 	 -0.009439
15 	 0.750000 	 -0.000763 	 -0.001093
16 	 0.800000 	 0.004735 	 0.004617
17 	 0.850000 	 0.007804 	 0.007808
18 	 0.900000 	 0.008846 	 0.008894
19 	 0.950000 	 0.008393 	 0.008432
20 	 1.000000 	 0.006998 	 0.006998
