t 	 y1 	 y2 	 revisa
   0.00000 	    0.00000 	    1.00000 	    1.00000
   0.05000 	    0.05000 	    1.00000 	    1.00250
   0.10000 	    0.10000 	    0.99750 	    1.00501
   0.15000 	    0.14988 	    0.99250 	    1.00752
   0.20000 	    0.19950 	    0.98501 	    1.01004
   0.25000 	    0.24875 	    0.97503 	    1.01256
   0.30000 	    0.29750 	    0.96259 	    1.01509
   0.35000 	    0.34563 	    0.94772 	    1.01763
   0.40000 	    0.39302 	    0.93044 	    1.02018
   0.45000 	    0.43954 	    0.91079 	    1.02273
   0.50000 	    0.48508 	    0.88881 	    1.02528
   0.55000 	    0.52952 	    0.86456 	    1.02785
   0.60000 	    0.57275 	    0.83808 	    1.03042
   0.65000 	    0.61465 	    0.80944 	    1.03299
   0.70000 	    0.65512 	    0.77871 	    1.03557
   0.75000 	    0.69406 	    0.74595 	    1.03816
   0.80000 	    0.73136 	    0.71125 	    1.04076
   0.85000 	    0.76692 	    0.67468 	    1.04336
   0.90000 	    0.80065 	    0.63634 	    1.04597
   0.95000 	    0.83247 	    0.59630 	    1.04858
   1.00000 	    0.86228 	    0.55468 	    1.05121
   1.05000 	    0.89002 	    0.51157 	    1.05383
   1.10000 	    0.91560 	    0.46707 	    1.05647
   1.15000 	    0.93895 	    0.42129 	    1.05911
   1.20000 	    0.96001 	    0.37434 	    1.06176
   1.25000 	    0.97873 	    0.32634 	    1.06441
   1.30000 	    0.99505 	    0.27740 	    1.06707
   1.35000 	    1.00892 	    0.22765 	    1.06974
   1.40000 	    1.02030 	    0.17720 	    1.07241
   1.45000 	    1.02916 	    0.12619 	    1.07510
   1.50000 	    1.03547 	    0.07473 	    1.07778
   1.55000 	    1.03921 	    0.02296 	    1.08048
   1.60000 	    1.04035 	   -0.02900 	    1.08318
   1.65000 	    1.03890 	   -0.08102 	    1.08589
   1.70000 	    1.03485 	   -0.13297 	    1.08860
   1.75000 	    1.02820 	   -0.18471 	    1.09132
   1.80000 	    1.01897 	   -0.23612 	    1.09405
   1.85000 	    1.00716 	   -0.28707 	    1.09679
   1.90000 	    0.99281 	   -0.33743 	    1.09953
   1.95000 	    0.97594 	   -0.38707 	    1.10228
   2.00000 	    0.95659 	   -0.43586 	    1.10503
   2.05000 	    0.93479 	   -0.48369 	    1.10780
   2.10000 	    0.91061 	   -0.53043 	    1.11057
   2.15000 	    0.88409 	   -0.57596 	    1.11334
