t 	 y1 	 y2 	 revisa
   0.00000 	    0.00000 	    1.00000 	    1.00000
   0.05000 	    0.05000 	    0.99875 	    1.00000
   0.10000 	    0.09988 	    0.99500 	    1.00000
   0.15000 	    0.14950 	    0.98876 	    1.00000
   0.20000 	    0.19875 	    0.98005 	    1.00001
   0.25000 	    0.24751 	    0.96889 	    1.00001
   0.30000 	    0.29564 	    0.95530 	    1.00001
   0.35000 	    0.34304 	    0.93933 	    1.00001
   0.40000 	    0.38957 	    0.92100 	    1.00001
   0.45000 	    0.43514 	    0.90037 	    1.00001
   0.50000 	    0.47961 	    0.87749 	    1.00002
   0.55000 	    0.52289 	    0.85241 	    1.00002
   0.60000 	    0.56485 	    0.82520 	    1.00002
   0.65000 	    0.60541 	    0.79593 	    1.00002
   0.70000 	    0.64445 	    0.76466 	    1.00002
   0.75000 	    0.68188 	    0.73148 	    1.00002
   0.80000 	    0.71760 	    0.69648 	    1.00003
   0.85000 	    0.75152 	    0.65973 	    1.00003
   0.90000 	    0.78357 	    0.62133 	    1.00003
   0.95000 	    0.81366 	    0.58137 	    1.00003
   1.00000 	    0.84171 	    0.53996 	    1.00003
   1.05000 	    0.86765 	    0.49720 	    1.00003
   1.10000 	    0.89143 	    0.45320 	    1.00003
   1.15000 	    0.91298 	    0.40806 	    1.00004
   1.20000 	    0.93224 	    0.36190 	    1.00004
   1.25000 	    0.94917 	    0.31483 	    1.00004
   1.30000 	    0.96372 	    0.26698 	    1.00004
   1.35000 	    0.97587 	    0.21846 	    1.00004
   1.40000 	    0.98557 	    0.16940 	    1.00004
   1.45000 	    0.99281 	    0.11991 	    1.00005
   1.50000 	    0.99756 	    0.07012 	    1.00005
   1.55000 	    0.99982 	    0.02015 	    1.00005
   1.60000 	    0.99958 	   -0.02987 	    1.00005
   1.65000 	    0.99684 	   -0.07981 	    1.00005
   1.70000 	    0.99160 	   -0.12955 	    1.00005
   1.75000 	    0.98388 	   -0.17897 	    1.00005
   1.80000 	    0.97370 	   -0.22794 	    1.00006
   1.85000 	    0.96109 	   -0.27634 	    1.00006
   1.90000 	    0.94607 	   -0.32405 	    1.00006
   1.95000 	    0.92869 	   -0.37095 	    1.00006
