dy =  1.87683
x 	 P5 	 err
   0.00000 	    0.00000 	    0.00000
   0.00010 	    0.00019 	   -0.00000
   0.00020 	    0.00038 	   -0.00000
   0.00030 	    0.00056 	   -0.00000
   0.00040 	    0.00075 	   -0.00000
   0.00050 	    0.00094 	   -0.00000
   0.00060 	    0.00113 	   -0.00000
   0.00070 	    0.00131 	   -0.00000
   0.00080 	    0.00150 	   -0.00000
   0.00090 	    0.00169 	   -0.00000
   0.00100 	    0.00188 	   -0.00000
   0.00110 	    0.00206 	   -0.00000
   0.00120 	    0.00225 	   -0.00000
   0.00130 	    0.00244 	   -0.00000
   0.00140 	    0.00263 	   -0.00000
   0.00150 	    0.00282 	   -0.00000
   0.00160 	    0.00300 	   -0.00000
   0.00170 	    0.00319 	   -0.00000
   0.00180 	    0.00338 	   -0.00000
   0.00190 	    0.00357 	   -0.00000
   0.00200 	    0.00375 	   -0.00000
   0.00210 	    0.00394 	   -0.00000
   0.00220 	    0.00413 	   -0.00000
   0.00230 	    0.00432 	   -0.00000
   0.00240 	    0.00450 	   -0.00000
   0.00250 	    0.00469 	   -0.00000
   0.00260 	    0.00488 	   -0.00000
   0.00270 	    0.00507 	   -0.00000
   0.00280 	    0.00525 	   -0.00001
   0.00290 	    0.00544 	   -0.00001
   0.00300 	    0.00563 	   -0.00001
   0.00310 	    0.00582 	   -0.00001
   0.00320 	    0.00601 	   -0.00001
   0.00330 	    0.00619 	   -0.00001
   0.00340 	    0.00638 	   -0.00001
   0.00350 	    0.00657 	   -0.00001
   0.00360 	    0.00676 	   -0.00001
   0.00370 	    0.00694 	   -0.00001
   0.00380 	    0.00713 	   -0.00001
   0.00390 	    0.00732 	   -0.00001
   0.00400 	    0.00751 	   -0.00001
   0.00410 	    0.00769 	   -0.00001
   0.00420 	    0.00788 	   -0.00001
   0.00430 	    0.00807 	   -0.00001
   0.00440 	    0.00826 	   -0.00001
   0.00450 	    0.00844 	   -0.00001
   0.00460 	    0.00863 	   -0.00001
   0.00470 	    0.00882 	   -0.00001
   0.00480 	    0.00901 	   -0.00001
   0.00490 	    0.00920 	   -0.00001
   0.00500 	    0.00938 	   -0.00001
   0.00510 	    0.00957 	   -0.00001
   0.00520 	    0.00976 	   -0.00001
   0.00530 	    0.00995 	   -0.00001
   0.00540 	    0.01013 	   -0.00001
   0.00550 	    0.01032 	   -0.00001
   0.00560 	    0.01051 	   -0.00001
   0.00570 	    0.01070 	   -0.00001
   0.00580 	    0.01088 	   -0.00001
   0.00590 	    0.01107 	   -0.00001
   0.00600 	    0.01126 	   -0.00001
   0.00610 	    0.01145 	   -0.00001
   0.00620 	    0.01163 	   -0.00001
   0.00630 	    0.01182 	   -0.00001
   0.00640 	    0.01201 	   -0.00001
   0.00650 	    0.01220 	   -0.00001
   0.00660 	    0.01238 	   -0.00001
   0.00670 	    0.01257 	   -0.00001
   0.00680 	    0.01276 	   -0.00001
   0.00690 	    0.01295 	   -0.00001
   0.00700 	    0.01313 	   -0.00001
   0.00710 	    0.01332 	   -0.00001
   0.00720 	    0.01351 	   -0.00001
   0.00730 	    0.01370 	   -0.00001
   0.00740 	    0.01389 	   -0.00001
   0.00750 	    0.01407 	   -0.00001
   0.00760 	    0.01426 	   -0.00001
   0.00770 	    0.01445 	   -0.00001
   0.00780 	    0.01464 	   -0.00001
   0.00790 	    0.01482 	   -0.00001
   0.00800 	    0.01501 	   -0.00001
   0.00810 	    0.01520 	   -0.00001
   0.00820 	    0.01539 	   -0.00002
   0.00830 	    0.01557 	   -0.00002
   0.00840 	    0.01576 	   -0.00002
   0.00850 	    0.01595 	   -0.00002
   0.00860 	    0.01614 	   -0.00002
   0.00870 	    0.01632 	   -0.00002
   0.00880 	    0.01651 	   -0.00002
   0.00890 	    0.01670 	   -0.00002
   0.00900 	    0.01689 	   -0.00002
   0.00910 	    0.01707 	   -0.00002
   0.00920 	    0.01726 	   -0.00002
   0.00930 	    0.01745 	   -0.00002
   0.00940 	    0.01763 	   -0.00002
   0.00950 	    0.01782 	   -0.00002
   0.00960 	    0.01801 	   -0.00002
   0.00970 	    0.01820 	   -0.00002
   0.00980 	    0.01838 	   -0.00002
   0.00990 	    0.01857 	   -0.00002
   0.01000 	    0.01876 	   -0.00002
   0.01010 	    0.01895 	   -0.00002
   0.01020 	    0.01913 	   -0.00002
   0.01030 	    0.01932 	   -0.00002
   0.01040 	    0.01951 	   -0.00002
   0.01050 	    0.01970 	   -0.00002
   0.01060 	    0.01988 	   -0.00002
   0.01070 	    0.02007 	   -0.00002
   0.01080 	    0.02026 	   -0.00002
   0.01090 	    0.02045 	   -0.00002
   0.01100 	    0.02063 	   -0.00002
   0.01110 	    0.02082 	   -0.00002
   0.01120 	    0.02101 	   -0.00002
   0.01130 	    0.02120 	   -0.00002
   0.01140 	    0.02138 	   -0.00002
   0.01150 	    0.02157 	   -0.00002
   0.01160 	    0.02176 	   -0.00002
   0.01170 	    0.02194 	   -0.00002
   0.01180 	    0.02213 	   -0.00002
   0.01190 	    0.02232 	   -0.00002
   0.01200 	    0.02251 	   -0.00002
   0.01210 	    0.02269 	   -0.00002
   0.01220 	    0.02288 	   -0.00002
   0.01230 	    0.02307 	   -0.00002
   0.01240 	    0.02326 	   -0.00002
   0.01250 	    0.02344 	   -0.00002
   0.01260 	    0.02363 	   -0.00002
   0.01270 	    0.02382 	   -0.00002
   0.01280 	    0.02401 	   -0.00002
   0.01290 	    0.02419 	   -0.00002
   0.01300 	    0.02438 	   -0.00002
   0.01310 	    0.02457 	   -0.00002
   0.01320 	    0.02475 	   -0.00002
   0.01330 	    0.02494 	   -0.00002
   0.01340 	    0.02513 	   -0.00002
   0.01350 	    0.02532 	   -0.00002
   0.01360 	    0.02550 	   -0.00002
   0.01370 	    0.02569 	   -0.00003
   0.01380 	    0.02588 	   -0.00003
   0.01390 	    0.02606 	   -0.00003
   0.01400 	    0.02625 	   -0.00003
   0.01410 	    0.02644 	   -0.00003
   0.01420 	    0.02663 	   -0.00003
   0.01430 	    0.02681 	   -0.00003
   0.01440 	    0.02700 	   -0.00003
   0.01450 	    0.02719 	   -0.00003
   0.01460 	    0.02737 	   -0.00003
   0.01470 	    0.02756 	   -0.00003
   0.01480 	    0.02775 	   -0.00003
   0.01490 	    0.02794 	   -0.00003
   0.01500 	    0.02812 	   -0.00003
   0.01510 	    0.02831 	   -0.00003
   0.01520 	    0.02850 	   -0.00003
   0.01530 	    0.02868 	   -0.00003
   0.01540 	    0.02887 	   -0.00003
   0.01550 	    0.02906 	   -0.00003
   0.01560 	    0.02925 	   -0.00003
   0.01570 	    0.02943 	   -0.00003
   0.01580 	    0.02962 	   -0.00003
   0.01590 	    0.02981 	   -0.00003
   0.01600 	    0.02999 	   -0.00003
   0.01610 	    0.03018 	   -0.00003
   0.01620 	    0.03037 	   -0.00003
   0.01630 	    0.03055 	   -0.00003
   0.01640 	    0.03074 	   -0.00003
   0.01650 	    0.03093 	   -0.00003
   0.01660 	    0.03112 	   -0.00003
   0.01670 	    0.03130 	   -0.00003
   0.01680 	    0.03149 	   -0.00003
   0.01690 	    0.03168 	   -0.00003
   0.01700 	    0.03186 	   -0.00003
   0.01710 	    0.03205 	   -0.00003
   0.01720 	    0.03224 	   -0.00003
   0.01730 	    0.03242 	   -0.00003
   0.01740 	    0.03261 	   -0.00003
   0.01750 	    0.03280 	   -0.00003
   0.01760 	    0.03298 	   -0.00003
   0.01770 	    0.03317 	   -0.00003
   0.01780 	    0.03336 	   -0.00003
   0.01790 	    0.03355 	   -0.00003
   0.01800 	    0.03373 	   -0.00003
   0.01810 	    0.03392 	   -0.00003
   0.01820 	    0.03411 	   -0.00003
   0.01830 	    0.03429 	   -0.00003
   0.01840 	    0.03448 	   -0.00003
   0.01850 	    0.03467 	   -0.00003
   0.01860 	    0.03485 	   -0.00003
   0.01870 	    0.03504 	   -0.00003
   0.01880 	    0.03523 	   -0.00003
   0.01890 	    0.03541 	   -0.00003
   0.01900 	    0.03560 	   -0.00003
   0.01910 	    0.03579 	   -0.00003
   0.01920 	    0.03597 	   -0.00004
   0.01930 	    0.03616 	   -0.00004
   0.01940 	    0.03635 	   -0.00004
   0.01950 	    0.03653 	   -0.00004
   0.01960 	    0.03672 	   -0.00004
   0.01970 	    0.03691 	   -0.00004
   0.01980 	    0.03709 	   -0.00004
   0.01990 	    0.03728 	   -0.00004
   0.02000 	    0.03747 	   -0.00004
   0.02010 	    0.03765 	   -0.00004
   0.02020 	    0.03784 	   -0.00004
   0.02030 	    0.03803 	   -0.00004
   0.02040 	    0.03821 	   -0.00004
   0.02050 	    0.03840 	   -0.00004
   0.02060 	    0.03859 	   -0.00004
   0.02070 	    0.03877 	   -0.00004
   0.02080 	    0.03896 	   -0.00004
   0.02090 	    0.03915 	   -0.00004
   0.02100 	    0.03933 	   -0.00004
   0.02110 	    0.03952 	   -0.00004
   0.02120 	    0.03971 	   -0.00004
   0.02130 	    0.03989 	   -0.00004
