t 	 u 	 du
   0.00000 	    1.57080 	    0.00000
   0.00100 	    1.57079 	   -0.00981
   0.00200 	    1.57078 	   -0.01962
   0.00300 	    1.57075 	   -0.02943
   0.00400 	    1.57072 	   -0.03924
   0.00500 	    1.57067 	   -0.04905
   0.00600 	    1.57062 	   -0.05886
   0.00700 	    1.57056 	   -0.06867
   0.00800 	    1.57048 	   -0.07848
   0.00900 	    1.57040 	   -0.08829
   0.01000 	    1.57031 	   -0.09810
   0.01100 	    1.57020 	   -0.10791
   0.01200 	    1.57009 	   -0.11772
   0.01300 	    1.56997 	   -0.12753
   0.01400 	    1.56983 	   -0.13734
   0.01500 	    1.56969 	   -0.14715
   0.01600 	    1.56954 	   -0.15696
   0.01700 	    1.56938 	   -0.16677
   0.01800 	    1.56921 	   -0.17658
   0.01900 	    1.56903 	   -0.18639
   0.02000 	    1.56883 	   -0.19620
   0.02100 	    1.56863 	   -0.20601
   0.02200 	    1.56842 	   -0.21582
   0.02300 	    1.56820 	   -0.22563
   0.02400 	    1.56797 	   -0.23544
   0.02500 	    1.56773 	   -0.24525
   0.02600 	    1.56748 	   -0.25506
   0.02700 	    1.56722 	   -0.26487
   0.02800 	    1.56695 	   -0.27468
   0.02900 	    1.56667 	   -0.28449
   0.03000 	    1.56638 	   -0.29430
   0.03100 	    1.56608 	   -0.30411
   0.03200 	    1.56577 	   -0.31392
   0.03300 	    1.56545 	   -0.32373
   0.03400 	    1.56513 	   -0.33354
   0.03500 	    1.56479 	   -0.34335
   0.03600 	    1.56444 	   -0.35316
   0.03700 	    1.56408 	   -0.36297
   0.03800 	    1.56371 	   -0.37278
   0.03900 	    1.56334 	   -0.38259
   0.04000 	    1.56295 	   -0.39240
   0.04100 	    1.56255 	   -0.40221
   0.04200 	    1.56214 	   -0.41202
   0.04300 	    1.56173 	   -0.42183
   0.04400 	    1.56130 	   -0.43164
   0.04500 	    1.56086 	   -0.44145
   0.04600 	    1.56042 	   -0.45126
   0.04700 	    1.55996 	   -0.46106
   0.04800 	    1.55950 	   -0.47087
   0.04900 	    1.55902 	   -0.48068
   0.05000 	    1.55853 	   -0.49049
   0.05100 	    1.55804 	   -0.50030
   0.05200 	    1.55753 	   -0.51011
   0.05300 	    1.55702 	   -0.51992
   0.05400 	    1.55649 	   -0.52973
   0.05500 	    1.55596 	   -0.53954
   0.05600 	    1.55541 	   -0.54935
   0.05700 	    1.55486 	   -0.55916
   0.05800 	    1.55430 	   -0.56896
   0.05900 	    1.55372 	   -0.57877
   0.06000 	    1.55314 	   -0.58858
   0.06100 	    1.55255 	   -0.59839
   0.06200 	    1.55194 	   -0.60820
   0.06300 	    1.55133 	   -0.61801
   0.06400 	    1.55071 	   -0.62781
   0.06500 	    1.55007 	   -0.63762
   0.06600 	    1.54943 	   -0.64743
   0.06700 	    1.54878 	   -0.65724
   0.06800 	    1.54812 	   -0.66705
   0.06900 	    1.54744 	   -0.67685
   0.07000 	    1.54676 	   -0.68666
   0.07100 	    1.54607 	   -0.69647
   0.07200 	    1.54537 	   -0.70627
   0.07300 	    1.54466 	   -0.71608
   0.07400 	    1.54394 	   -0.72589
   0.07500 	    1.54321 	   -0.73569
   0.07600 	    1.54247 	   -0.74550
   0.07700 	    1.54172 	   -0.75531
   0.07800 	    1.54096 	   -0.76511
   0.07900 	    1.54019 	   -0.77492
   0.08000 	    1.53941 	   -0.78472
   0.08100 	    1.53862 	   -0.79453
   0.08200 	    1.53782 	   -0.80433
   0.08300 	    1.53701 	   -0.81414
   0.08400 	    1.53619 	   -0.82394
   0.08500 	    1.53536 	   -0.83375
   0.08600 	    1.53452 	   -0.84355
   0.08700 	    1.53367 	   -0.85335
   0.08800 	    1.53281 	   -0.86316
   0.08900 	    1.53195 	   -0.87296
   0.09000 	    1.53107 	   -0.88276
   0.09100 	    1.53018 	   -0.89256
   0.09200 	    1.52928 	   -0.90236
   0.09300 	    1.52838 	   -0.91217
   0.09400 	    1.52746 	   -0.92197
   0.09500 	    1.52653 	   -0.93177
   0.09600 	    1.52559 	   -0.94157
   0.09700 	    1.52465 	   -0.95137
   0.09800 	    1.52369 	   -0.96117
   0.09900 	    1.52273 	   -0.97097
   0.10000 	    1.52175 	   -0.98076
   0.10100 	    1.52076 	   -0.99056
   0.10200 	    1.51977 	   -1.00036
   0.10300 	    1.51876 	   -1.01016
   0.10400 	    1.51775 	   -1.01995
   0.10500 	    1.51672 	   -1.02975
   0.10600 	    1.51569 	   -1.03954
   0.10700 	    1.51464 	   -1.04934
   0.10800 	    1.51359 	   -1.05913
   0.10900 	    1.51253 	   -1.06893
   0.11000 	    1.51145 	   -1.07872
   0.11100 	    1.51037 	   -1.08851
   0.11200 	    1.50928 	   -1.09830
   0.11300 	    1.50817 	   -1.10810
   0.11400 	    1.50706 	   -1.11789
   0.11500 	    1.50594 	   -1.12768
   0.11600 	    1.50480 	   -1.13746
   0.11700 	    1.50366 	   -1.14725
   0.11800 	    1.50251 	   -1.15704
   0.11900 	    1.50135 	   -1.16683
   0.12000 	    1.50018 	   -1.17661
   0.12100 	    1.49899 	   -1.18640
   0.12200 	    1.49780 	   -1.19618
   0.12300 	    1.49660 	   -1.20597
   0.12400 	    1.49539 	   -1.21575
   0.12500 	    1.49417 	   -1.22553
   0.12600 	    1.49294 	   -1.23531
   0.12700 	    1.49170 	   -1.24509
   0.12800 	    1.49045 	   -1.25487
   0.12900 	    1.48919 	   -1.26465
   0.13000 	    1.48792 	   -1.27442
   0.13100 	    1.48664 	   -1.28420
   0.13200 	    1.48535 	   -1.29397
   0.13300 	    1.48405 	   -1.30375
