t 	 u 	 du
   0.00000 	    1.57080 	    0.00000
   0.01000 	    1.57080 	   -0.09810
   0.02000 	    1.56982 	   -0.19620
   0.03000 	    1.56785 	   -0.29430
   0.04000 	    1.56491 	   -0.39240
   0.05000 	    1.56099 	   -0.49050
   0.06000 	    1.55608 	   -0.58859
   0.07000 	    1.55020 	   -0.68668
   0.08000 	    1.54333 	   -0.78476
   0.09000 	    1.53548 	   -0.88282
   0.10000 	    1.52665 	   -0.98086
   0.11000 	    1.51684 	   -1.07887
   0.12000 	    1.50606 	   -1.17683
   0.13000 	    1.49429 	   -1.27472
   0.14000 	    1.48154 	   -1.37253
   0.15000 	    1.46781 	   -1.47024
   0.16000 	    1.45311 	   -1.56782
   0.17000 	    1.43743 	   -1.66524
   0.18000 	    1.42078 	   -1.76247
   0.19000 	    1.40316 	   -1.85947
   0.20000 	    1.38456 	   -1.95620
   0.21000 	    1.36500 	   -2.05260
   0.22000 	    1.34447 	   -2.14863
   0.23000 	    1.32299 	   -2.24423
   0.24000 	    1.30055 	   -2.33933
   0.25000 	    1.27715 	   -2.43387
   0.26000 	    1.25281 	   -2.52777
   0.27000 	    1.22754 	   -2.62095
   0.28000 	    1.20133 	   -2.71333
   0.29000 	    1.17419 	   -2.80481
   0.30000 	    1.14614 	   -2.89530
   0.31000 	    1.11719 	   -2.98468
   0.32000 	    1.08735 	   -3.07286
   0.33000 	    1.05662 	   -3.15972
   0.34000 	    1.02502 	   -3.24513
   0.35000 	    0.99257 	   -3.32898
   0.36000 	    0.95928 	   -3.41114
   0.37000 	    0.92517 	   -3.49146
   0.38000 	    0.89025 	   -3.56981
   0.39000 	    0.85455 	   -3.64606
   0.40000 	    0.81809 	   -3.72005
   0.41000 	    0.78089 	   -3.79165
   0.42000 	    0.74298 	   -3.86070
   0.43000 	    0.70437 	   -3.92707
   0.44000 	    0.66510 	   -3.99059
   0.45000 	    0.62519 	   -4.05113
   0.46000 	    0.58468 	   -4.10855
   0.47000 	    0.54360 	   -4.16269
   0.48000 	    0.50197 	   -4.21343
   0.49000 	    0.45983 	   -4.26063
   0.50000 	    0.41723 	   -4.30417
   0.51000 	    0.37419 	   -4.34392
   0.52000 	    0.33075 	   -4.37978
   0.53000 	    0.28695 	   -4.41164
   0.54000 	    0.24283 	   -4.43940
   0.55000 	    0.19844 	   -4.46299
   0.56000 	    0.15381 	   -4.48233
   0.57000 	    0.10899 	   -4.49736
   0.58000 	    0.06401 	   -4.50803
   0.59000 	    0.01893 	   -4.51430
   0.60000 	   -0.02621 	   -4.51616
   0.61000 	   -0.07137 	   -4.51359
   0.62000 	   -0.11651 	   -4.50660
   0.63000 	   -0.16157 	   -4.49519
   0.64000 	   -0.20653 	   -4.47941
   0.65000 	   -0.25132 	   -4.45929
   0.66000 	   -0.29591 	   -4.43490
   0.67000 	   -0.34026 	   -4.40629
   0.68000 	   -0.38433 	   -4.37355
   0.69000 	   -0.42806 	   -4.33677
   0.70000 	   -0.47143 	   -4.29605
   0.71000 	   -0.51439 	   -4.25150
   0.72000 	   -0.55690 	   -4.20323
   0.73000 	   -0.59894 	   -4.15138
   0.74000 	   -0.64045 	   -4.09607
   0.75000 	   -0.68141 	   -4.03745
   0.76000 	   -0.72179 	   -3.97566
   0.77000 	   -0.76154 	   -3.91084
   0.78000 	   -0.80065 	   -3.84315
   0.79000 	   -0.83908 	   -3.77273
   0.80000 	   -0.87681 	   -3.69974
   0.81000 	   -0.91381 	   -3.62433
   0.82000 	   -0.95005 	   -3.54666
   0.83000 	   -0.98552 	   -3.46686
   0.84000 	   -1.02018 	   -3.38508
   0.85000 	   -1.05404 	   -3.30148
   0.86000 	   -1.08705 	   -3.21619
   0.87000 	   -1.11921 	   -3.12935
   0.88000 	   -1.15051 	   -3.04108
   0.89000 	   -1.18092 	   -2.95152
   0.90000 	   -1.21043 	   -2.86078
   0.91000 	   -1.23904 	   -2.76898
   0.92000 	   -1.26673 	   -2.67623
   0.93000 	   -1.29349 	   -2.58263
   0.94000 	   -1.31932 	   -2.48828
   0.95000 	   -1.34420 	   -2.39327
   0.96000 	   -1.36813 	   -2.29767
   0.97000 	   -1.39111 	   -2.20158
   0.98000 	   -1.41313 	   -2.10506
   0.99000 	   -1.43418 	   -2.00818
   1.00000 	   -1.45426 	   -1.91099
