t 	 u 	 du
   0.00000 	    1.57080 	    0.00000
   0.10000 	    1.47270 	   -0.98100
   0.20000 	    1.27697 	   -1.95728
   0.30000 	    0.98734 	   -2.89624
   0.40000 	    0.61585 	   -3.71495
   0.50000 	    0.18769 	   -4.28163
   0.60000 	   -0.25878 	   -4.46467
   0.70000 	   -0.68014 	   -4.21363
   0.80000 	   -1.03981 	   -3.59667
   0.90000 	   -1.31488 	   -2.75075
   1.00000 	   -1.49505 	   -1.80170
   1.10000 	   -1.57741 	   -0.82351
   1.20000 	   -1.56166 	    0.15747
   1.30000 	   -1.44782 	    1.13843
   1.40000 	   -1.23661 	    2.11202
   1.50000 	   -0.93274 	    3.03875
   1.60000 	   -0.55006 	    3.82674
   1.70000 	   -0.11611 	    4.33955
   1.80000 	    0.32921 	    4.45320
   1.90000 	    0.74282 	    4.13605
   2.00000 	    1.09007 	    3.47253
   2.10000 	    1.35034 	    2.60272
   2.20000 	    1.51489 	    1.64546
   2.30000 	    1.58149 	    0.66600
   2.40000 	    1.54999 	   -0.31495
   2.50000 	    1.42042 	   -1.29574
   2.60000 	    1.19385 	   -2.26566
   2.70000 	    0.87607 	   -3.17779
   2.80000 	    0.48293 	   -3.93143
   2.90000 	    0.04423 	   -4.38698
   3.00000 	   -0.39880 	   -4.43036
   3.10000 	   -0.80375 	   -4.04942
   3.20000 	   -1.13806 	   -3.34314
   3.30000 	   -1.38332 	   -2.45256
   3.40000 	   -1.53219 	   -1.48875
   3.50000 	   -1.58304 	   -0.50849
   3.60000 	   -1.53580 	    0.47244
   3.70000 	   -1.39051 	    1.45284
   3.80000 	   -1.14872 	    2.41794
   3.90000 	   -0.81743 	    3.31285
   4.00000 	   -0.41459 	    4.02838
   4.10000 	    0.02776 	    4.42355
   4.20000 	    0.46739 	    4.39632
   4.30000 	    0.86282 	    3.95432
   4.40000 	    1.18373 	    3.20907
   4.50000 	    1.41380 	    2.30064
   4.60000 	    1.54697 	    1.33171
   4.70000 	    1.58206 	    0.35099
   4.80000 	    1.51907 	   -0.62995
   4.90000 	    1.35811 	   -1.60964
   5.00000 	    1.10125 	   -2.56853
   5.10000 	    0.75692 	   -3.44336
   5.20000 	    0.34522 	   -4.11700
   5.30000 	   -0.09968 	   -4.44897
   5.40000 	   -0.53482 	   -4.35135
   5.50000 	   -0.91995 	   -3.85135
   5.60000 	   -1.22704 	   -3.07089
   5.70000 	   -1.44177 	   -2.14729
   5.80000 	   -1.55921 	   -1.17444
   5.90000 	   -1.57856 	   -0.19351
   6.00000 	   -1.49982 	    0.78746
   6.10000 	   -1.32322 	    1.76599
   6.20000 	   -1.05151 	    2.71708
   6.30000 	   -0.69463 	    3.56876
   6.40000 	   -0.27496 	    4.19670
   6.50000 	    0.17134 	    4.46305
   6.60000 	    0.60092 	    4.29579
   6.70000 	    0.97503 	    3.74113
   6.80000 	    1.26795 	    2.92913
   6.90000 	    1.46722 	    1.99278
   7.00000 	    1.56893 	    1.01703
   7.10000 	    1.57253 	    0.03604
   7.20000 	    1.47804 	   -0.94496
   7.30000 	    1.28586 	   -1.92175
   7.40000 	    0.99954 	   -2.86319
   7.50000 	    0.63070 	   -3.68843
   7.60000 	    0.20401 	   -4.26694
   7.70000 	   -0.24256 	   -4.46568
   7.80000 	   -0.66557 	   -4.23005
   7.90000 	   -1.02800 	   -3.62428
   8.00000 	   -1.30642 	   -2.78428
   8.10000 	   -1.49016 	   -1.83737
   8.20000 	   -1.57612 	   -0.85955
   8.30000 	   -1.56397 	    0.12143
   8.40000 	   -1.45373 	    1.10241
   8.50000 	   -1.24606 	    2.07670
   8.60000 	   -0.94542 	    3.00642
   8.70000 	   -0.56524 	    3.80176
   8.80000 	   -0.13252 	    4.32721
   8.90000 	    0.31316 	    4.45683
   9.00000 	    0.72862 	    4.15462
   9.10000 	    1.07877 	    3.50143
   9.20000 	    1.34244 	    2.63680
   9.30000 	    1.51057 	    1.68126
   9.40000 	    1.58078 	    0.70204
   9.50000 	    1.55288 	   -0.27891
   9.60000 	    1.42691 	   -1.25975
   9.70000 	    1.20385 	   -2.23061
   9.80000 	    0.88922 	   -3.14631
   9.90000 	    0.49840 	   -3.90813
  10.00000 	    0.06070 	   -4.37707
  10.10000 	   -0.38296 	   -4.43658
  10.20000 	   -0.78996 	   -4.07001
  10.30000 	   -1.12728 	   -3.37318
  10.40000 	   -1.37599 	   -2.48709
  10.50000 	   -1.52845 	   -1.52465
  10.60000 	   -1.58291 	   -0.54453
  10.70000 	   -1.53927 	    0.43640
  10.80000 	   -1.39758 	    1.41691
  10.90000 	   -1.15925 	    2.38323
  11.00000 	   -0.83102 	    3.28232
  11.10000 	   -0.43033 	    4.00691
  11.20000 	    0.01128 	    4.41615
  11.30000 	    0.45179 	    4.40508
  11.40000 	    0.84947 	    3.97680
  11.50000 	    1.17349 	    3.24013
  11.60000 	    1.40704 	    2.33555
  11.70000 	    1.54381 	    1.36767
  11.80000 	    1.58251 	    0.38703
  11.90000 	    1.52312 	   -0.59390
  12.00000 	    1.36574 	   -1.57379
  12.10000 	    1.11232 	   -2.53424
  12.20000 	    0.77093 	   -3.41393
  12.30000 	    0.36118 	   -4.09749
  12.40000 	   -0.08324 	   -4.44415
  12.50000 	   -0.51950 	   -4.36259
  12.60000 	   -0.90705 	   -3.87557
  12.70000 	   -1.21734 	   -3.10285
  12.80000 	   -1.43559 	   -2.18249
  12.90000 	   -1.55663 	   -1.21045
  13.00000 	   -1.57959 	   -0.22954
  13.10000 	   -1.50445 	    0.75142
  13.20000 	   -1.33142 	    1.73026
  13.30000 	   -1.06309 	    2.68329
  13.40000 	   -0.70904 	    3.54055
  13.50000 	   -0.29111 	    4.17928
  13.60000 	    0.15498 	    4.46084
  13.70000 	    0.58592 	    4.30941
  13.80000 	    0.96261 	    3.76696
  13.90000 	    1.25880 	    2.96186
  14.00000 	    1.46162 	    2.02822
  14.10000 	    1.56693 	    1.05306
  14.20000 	    1.57414 	    0.07207
  14.30000 	    1.48324 	   -0.90892
  14.40000 	    1.29463 	   -1.88617
  14.50000 	    1.01163 	   -2.82999
  14.60000 	    0.64547 	   -3.66158
  14.70000 	    0.22030 	   -4.25173
  14.80000 	   -0.22631 	   -4.46609
  14.90000 	   -0.65091 	   -4.24597
  15.00000 	   -1.01607 	   -3.65157
  15.10000 	   -1.29783 	   -2.81768
  15.20000 	   -1.48513 	   -1.87300
  15.30000 	   -1.57469 	   -0.89560
  15.40000 	   -1.56615 	    0.08540
  15.50000 	   -1.45952 	    1.06639
  15.60000 	   -1.25538 	    2.04132
  15.70000 	   -0.95799 	    2.97392
  15.80000 	   -0.58035 	    3.77642
  15.90000 	   -0.14892 	    4.31432
  16.00000 	    0.29707 	    4.45987
  16.10000 	    0.71434 	    4.17271
  16.20000 	    1.06734 	    3.53004
  16.30000 	    1.33442 	    2.67076
  16.40000 	    1.50612 	    1.71704
  16.50000 	    1.57993 	    0.73809
  16.60000 	    1.55565 	   -0.24287
  16.70000 	    1.43327 	   -1.22376
  16.80000 	    1.21372 	   -2.19550
  16.90000 	    0.90226 	   -3.11462
  17.00000 	    0.51381 	   -3.88444
  17.10000 	    0.07715 	   -4.36660
  17.20000 	   -0.36707 	   -4.44221
  17.30000 	   -0.77608 	   -4.09015
  17.40000 	   -1.11638 	   -3.40297
  17.50000 	   -1.36853 	   -2.52153
  17.60000 	   -1.52458 	   -1.56053
  17.70000 	   -1.58264 	   -0.58057
  17.80000 	   -1.54261 	    0.40036
  17.90000 	   -1.40451 	    1.38097
  18.00000 	   -1.16967 	    2.34843
  18.10000 	   -0.84451 	    3.25156
  18.20000 	   -0.44601 	    3.98500
  18.30000 	   -0.00519 	    4.40818
  18.40000 	    0.43614 	    4.41327
  18.50000 	    0.83602 	    3.99886
  18.60000 	    1.16312 	    3.27097
  18.70000 	    1.40016 	    2.37037
  18.80000 	    1.54052 	    1.40362
  18.90000 	    1.58282 	    0.42307
  19.00000 	    1.52704 	   -0.55786
  19.10000 	    1.37325 	   -1.53792
  19.20000 	    1.12326 	   -2.49984
  19.30000 	    0.78484 	   -3.38423
  19.40000 	    0.37709 	   -4.07751
  19.50000 	   -0.06678 	   -4.43873
  19.60000 	   -0.50411 	   -4.37327
  19.70000 	   -0.89405 	   -3.89941
  19.80000 	   -1.20751 	   -3.13461
  19.90000 	   -1.42928 	   -2.21764
