t 	 u 	 du
   0.00000 	    1.57080 	    0.00000
   0.01000 	    1.57080 	   -0.04905
   0.02000 	    1.56982 	   -0.14715
   0.03000 	    1.56785 	   -0.24525
   0.04000 	    1.56491 	   -0.34335
   0.05000 	    1.56099 	   -0.44145
   0.06000 	    1.55608 	   -0.53954
   0.07000 	    1.55020 	   -0.63762
   0.08000 	    1.54333 	   -0.73569
   0.09000 	    1.53548 	   -0.83374
   0.10000 	    1.52665 	   -0.93177
   0.11000 	    1.51685 	   -1.02975
   0.12000 	    1.50606 	   -1.12767
   0.13000 	    1.49429 	   -1.22553
   0.14000 	    1.48155 	   -1.32329
   0.15000 	    1.46783 	   -1.42093
   0.16000 	    1.45313 	   -1.51843
   0.17000 	    1.43746 	   -1.61576
   0.18000 	    1.42081 	   -1.71287
   0.19000 	    1.40320 	   -1.80974
   0.20000 	    1.38462 	   -1.90630
   0.21000 	    1.36508 	   -2.00252
   0.22000 	    1.34457 	   -2.09833
   0.23000 	    1.32311 	   -2.19369
   0.24000 	    1.30070 	   -2.28851
   0.25000 	    1.27734 	   -2.38274
   0.26000 	    1.25304 	   -2.47628
   0.27000 	    1.22781 	   -2.56907
   0.28000 	    1.20166 	   -2.66101
   0.29000 	    1.17459 	   -2.75201
   0.30000 	    1.14662 	   -2.84196
   0.31000 	    1.11775 	   -2.93077
   0.32000 	    1.08800 	   -3.01831
   0.33000 	    1.05739 	   -3.10448
   0.34000 	    1.02591 	   -3.18915
   0.35000 	    0.99360 	   -3.27221
   0.36000 	    0.96047 	   -3.35350
   0.37000 	    0.92653 	   -3.43292
   0.38000 	    0.89181 	   -3.51030
   0.39000 	    0.85633 	   -3.58553
   0.40000 	    0.82010 	   -3.65845
   0.41000 	    0.78316 	   -3.72892
   0.42000 	    0.74552 	   -3.79680
   0.43000 	    0.70722 	   -3.86194
   0.44000 	    0.66828 	   -3.92421
   0.45000 	    0.62874 	   -3.98345
   0.46000 	    0.58862 	   -4.03953
   0.47000 	    0.54795 	   -4.09231
   0.48000 	    0.50677 	   -4.14167
   0.49000 	    0.46511 	   -4.18748
   0.50000 	    0.42302 	   -4.22961
   0.51000 	    0.38052 	   -4.26797
   0.52000 	    0.33766 	   -4.30243
   0.53000 	    0.29447 	   -4.33292
   0.54000 	    0.25100 	   -4.35934
   0.55000 	    0.20729 	   -4.38162
   0.56000 	    0.16337 	   -4.39969
   0.57000 	    0.11929 	   -4.41350
   0.58000 	    0.07510 	   -4.42302
   0.59000 	    0.03083 	   -4.42821
   0.60000 	   -0.01346 	   -4.42907
   0.61000 	   -0.05775 	   -4.42557
   0.62000 	   -0.10198 	   -4.41775
   0.63000 	   -0.14610 	   -4.40562
   0.64000 	   -0.19009 	   -4.38921
   0.65000 	   -0.23389 	   -4.36857
   0.66000 	   -0.27746 	   -4.34377
   0.67000 	   -0.32076 	   -4.31487
   0.68000 	   -0.36376 	   -4.28195
   0.69000 	   -0.40640 	   -4.24511
   0.70000 	   -0.44866 	   -4.20444
   0.71000 	   -0.49049 	   -4.16006
   0.72000 	   -0.53186 	   -4.11208
   0.73000 	   -0.57273 	   -4.06062
   0.74000 	   -0.61307 	   -4.00582
   0.75000 	   -0.65285 	   -3.94780
   0.76000 	   -0.69203 	   -3.88671
   0.77000 	   -0.73058 	   -3.82268
   0.78000 	   -0.76848 	   -3.75585
   0.79000 	   -0.80570 	   -3.68638
   0.80000 	   -0.84221 	   -3.61440
   0.81000 	   -0.87799 	   -3.54007
   0.82000 	   -0.91301 	   -3.46351
   0.83000 	   -0.94726 	   -3.38487
   0.84000 	   -0.98071 	   -3.30430
   0.85000 	   -1.01334 	   -3.22192
   0.86000 	   -1.04515 	   -3.13787
   0.87000 	   -1.07610 	   -3.05227
   0.88000 	   -1.10619 	   -2.96525
   0.89000 	   -1.13541 	   -2.87692
   0.90000 	   -1.16373 	   -2.78741
   0.91000 	   -1.19116 	   -2.69681
   0.92000 	   -1.21767 	   -2.60523
   0.93000 	   -1.24326 	   -2.51276
   0.94000 	   -1.26792 	   -2.41950
   0.95000 	   -1.29165 	   -2.32553
   0.96000 	   -1.31443 	   -2.23093
   0.97000 	   -1.33627 	   -2.13578
   0.98000 	   -1.35715 	   -2.04014
   0.99000 	   -1.37707 	   -1.94407
   1.00000 	   -1.39603 	   -1.84764
   1.01000 	   -1.41402 	   -1.75088
   1.02000 	   -1.43105 	   -1.65386
   1.03000 	   -1.44710 	   -1.55662
   1.04000 	   -1.46218 	   -1.45918
   1.05000 	   -1.47628 	   -1.36159
   1.06000 	   -1.48941 	   -1.26387
   1.07000 	   -1.50156 	   -1.16605
   1.08000 	   -1.51273 	   -1.06815
   1.09000 	   -1.52293 	   -0.97019
   1.10000 	   -1.53214 	   -0.87218
   1.11000 	   -1.54037 	   -0.77414
   1.12000 	   -1.54762 	   -0.67608
   1.13000 	   -1.55389 	   -0.57800
   1.14000 	   -1.55918 	   -0.47991
   1.15000 	   -1.56349 	   -0.38181
   1.16000 	   -1.56682 	   -0.28371
   1.17000 	   -1.56916 	   -0.18561
   1.18000 	   -1.57053 	   -0.08751
   1.19000 	   -1.57091 	    0.01059
   1.20000 	   -1.57032 	    0.10869
   1.21000 	   -1.56874 	    0.20679
   1.22000 	   -1.56618 	    0.30488
   1.23000 	   -1.56264 	    0.40298
   1.24000 	   -1.55812 	    0.50108
   1.25000 	   -1.55262 	    0.59916
   1.26000 	   -1.54614 	    0.69724
   1.27000 	   -1.53868 	    0.79530
   1.28000 	   -1.53023 	    0.89334
   1.29000 	   -1.52081 	    0.99133
   1.30000 	   -1.51041 	    1.08928
   1.31000 	   -1.49902 	    1.18717
   1.32000 	   -1.48666 	    1.28497
   1.33000 	   -1.47332 	    1.38266
   1.34000 	   -1.45901 	    1.48022
   1.35000 	   -1.44372 	    1.57762
   1.36000 	   -1.42746 	    1.67482
   1.37000 	   -1.41022 	    1.77179
   1.38000 	   -1.39202 	    1.86848
   1.39000 	   -1.37285 	    1.96484
   1.40000 	   -1.35272 	    2.06082
   1.41000 	   -1.33164 	    2.15636
   1.42000 	   -1.30960 	    2.25140
   1.43000 	   -1.28661 	    2.34587
   1.44000 	   -1.26268 	    2.43969
   1.45000 	   -1.23782 	    2.53279
   1.46000 	   -1.21202 	    2.62507
   1.47000 	   -1.18531 	    2.71645
   1.48000 	   -1.15769 	    2.80682
   1.49000 	   -1.12918 	    2.89609
   1.50000 	   -1.09977 	    2.98414
   1.51000 	   -1.06949 	    3.07087
   1.52000 	   -1.03836 	    3.15614
   1.53000 	   -1.00637 	    3.23984
   1.54000 	   -0.97356 	    3.32184
   1.55000 	   -0.93993 	    3.40201
   1.56000 	   -0.90552 	    3.48021
   1.57000 	   -0.87033 	    3.55630
   1.58000 	   -0.83439 	    3.63014
