      x         y          u
  -5.00000  -5.00000  -1.00000e+99
  -4.80000  -5.00000  -1.00000e+99
  -4.60000  -5.00000  -1.00000e+99
  -4.40000  -5.00000  -1.00000e+99
  -4.20000  -5.00000  -1.00000e+99
  -4.00000  -5.00000  -1.00000e+99
  -3.80000  -5.00000  -1.00000e+99
  -3.60000  -5.00000  -1.00000e+99
  -3.40000  -5.00000  -1.00000e+99
  -3.20000  -5.00000  -1.00000e+99
  -3.00000  -5.00000  -1.00000e+99
  -2.80000  -5.00000  -1.00000e+99
  -2.60000  -5.00000  -1.00000e+99
  -2.40000  -5.00000  -1.00000e+99
  -2.20000  -5.00000  -1.00000e+99
  -2.00000  -5.00000  -1.00000e+99
  -1.80000  -5.00000  -1.00000e+99
  -1.60000  -5.00000  -1.00000e+99
  -1.40000  -5.00000  -1.00000e+99
  -1.20000  -5.00000  -1.00000e+99
  -1.00000  -5.00000  -1.00000e+99
  -0.80000  -5.00000  -1.00000e+99
  -0.60000  -5.00000  -1.00000e+99
  -0.40000  -5.00000  -1.00000e+99
  -0.20000  -5.00000   0.00000e+00
   0.00000  -5.00000   0.00000e+00
   0.20000  -5.00000   0.00000e+00
   0.40000  -5.00000  -1.00000e+99
   0.60000  -5.00000  -1.00000e+99
   0.80000  -5.00000  -1.00000e+99
   1.00000  -5.00000  -1.00000e+99
   1.20000  -5.00000  -1.00000e+99
   1.40000  -5.00000  -1.00000e+99
   1.60000  -5.00000  -1.00000e+99
   1.80000  -5.00000  -1.00000e+99
   2.00000  -5.00000  -1.00000e+99
   2.20000  -5.00000  -1.00000e+99
   2.40000  -5.00000  -1.00000e+99
   2.60000  -5.00000  -1.00000e+99
   2.80000  -5.00000  -1.00000e+99
   3.00000  -5.00000  -1.00000e+99
   3.20000  -5.00000  -1.00000e+99
   3.40000  -5.00000  -1.00000e+99
   3.60000  -5.00000  -1.00000e+99
   3.80000  -5.00000  -1.00000e+99
   4.00000  -5.00000  -1.00000e+99
   4.20000  -5.00000  -1.00000e+99
   4.40000  -5.00000  -1.00000e+99
   4.60000  -5.00000  -1.00000e+99
   4.80000  -5.00000  -1.00000e+99
   5.00000  -5.00000  -1.00000e+99
  -5.00000  -4.80000  -1.00000e+99
  -4.80000  -4.80000  -1.00000e+99
  -4.60000  -4.80000  -1.00000e+99
  -4.40000  -4.80000  -1.00000e+99
  -4.20000  -4.80000  -1.00000e+99
  -4.00000  -4.80000  -1.00000e+99
  -3.80000  -4.80000  -1.00000e+99
  -3.60000  -4.80000  -1.00000e+99
  -3.40000  -4.80000  -1.00000e+99
  -3.20000  -4.80000  -1.00000e+99
  -3.00000  -4.80000  -1.00000e+99
  -2.80000  -4.80000  -1.00000e+99
  -2.60000  -4.80000  -1.00000e+99
  -2.40000  -4.80000  -1.00000e+99
  -2.20000  -4.80000  -1.00000e+99
  -2.00000  -4.80000  -1.00000e+99
  -1.80000  -4.80000  -1.00000e+99
  -1.60000  -4.80000  -1.00000e+99
  -1.40000  -4.80000   2.60000e+01
  -1.20000  -4.80000   1.19885e+01
  -1.00000  -4.80000   7.10257e+00
  -0.80000  -4.80000   5.03064e+00
  -0.60000  -4.80000   3.95617e+00
  -0.40000  -4.80000   3.29410e+00
  -0.20000  -4.80000   2.83000e+00
   0.00000  -4.80000   2.47364e+00
   0.20000  -4.80000   2.18115e+00
   0.40000  -4.80000   1.92744e+00
   0.60000  -4.80000   1.69420e+00
   0.80000  -4.80000   1.46160e+00
   1.00000  -4.80000   1.19454e+00
   1.20000  -4.80000   8.03008e-01
   1.40000  -4.80000   0.00000e+00
   1.60000  -4.80000  -1.00000e+99
   1.80000  -4.80000  -1.00000e+99
   2.00000  -4.80000  -1.00000e+99
   2.20000  -4.80000  -1.00000e+99
   2.40000  -4.80000  -1.00000e+99
   2.60000  -4.80000  -1.00000e+99
   2.80000  -4.80000  -1.00000e+99
   3.00000  -4.80000  -1.00000e+99
   3.20000  -4.80000  -1.00000e+99
   3.40000  -4.80000  -1.00000e+99
   3.60000  -4.80000  -1.00000e+99
   3.80000  -4.80000  -1.00000e+99
   4.00000  -4.80000  -1.00000e+99
   4.20000  -4.80000  -1.00000e+99
   4.40000  -4.80000  -1.00000e+99
   4.60000  -4.80000  -1.00000e+99
   4.80000  -4.80000  -1.00000e+99
   5.00000  -4.80000  -1.00000e+99
  -5.00000  -4.60000  -1.00000e+99
  -4.80000  -4.60000  -1.00000e+99
  -4.60000  -4.60000  -1.00000e+99
  -4.40000  -4.60000  -1.00000e+99
  -4.20000  -4.60000  -1.00000e+99
  -4.00000  -4.60000  -1.00000e+99
  -3.80000  -4.60000  -1.00000e+99
  -3.60000  -4.60000  -1.00000e+99
  -3.40000  -4.60000  -1.00000e+99
  -3.20000  -4.60000  -1.00000e+99
  -3.00000  -4.60000  -1.00000e+99
  -2.80000  -4.60000  -1.00000e+99
  -2.60000  -4.60000  -1.00000e+99
  -2.40000  -4.60000  -1.00000e+99
  -2.20000  -4.60000  -1.00000e+99
  -2.00000  -4.60000   3.80000e+01
  -1.80000  -4.60000   1.93027e+01
  -1.60000  -4.60000   1.47415e+01
  -1.40000  -4.60000   1.88314e+01
  -1.20000  -4.60000   1.48515e+01
  -1.00000  -4.60000   1.13911e+01
  -0.80000  -4.60000   9.06383e+00
  -0.60000  -4.60000   7.49998e+00
  -0.40000  -4.60000   6.39026e+00
  -0.20000  -4.60000   5.55230e+00
   0.00000  -4.60000   4.88341e+00
   0.20000  -4.60000   4.32355e+00
   0.40000  -4.60000   3.83443e+00
   0.60000  -4.60000   3.38780e+00
   0.80000  -4.60000   2.95766e+00
   1.00000  -4.60000   2.51357e+00
   1.20000  -4.60000   2.01750e+00
   1.40000  -4.60000   1.45448e+00
   1.60000  -4.60000   1.08383e+00
   1.80000  -4.60000   6.88599e-01
   2.00000  -4.60000   0.00000e+00
   2.20000  -4.60000  -1.00000e+99
   2.40000  -4.60000  -1.00000e+99
   2.60000  -4.60000  -1.00000e+99
   2.80000  -4.60000  -1.00000e+99
   3.00000  -4.60000  -1.00000e+99
   3.20000  -4.60000  -1.00000e+99
   3.40000  -4.60000  -1.00000e+99
   3.60000  -4.60000  -1.00000e+99
   3.80000  -4.60000  -1.00000e+99
   4.00000  -4.60000  -1.00000e+99
   4.20000  -4.60000  -1.00000e+99
   4.40000  -4.60000  -1.00000e+99
   4.60000  -4.60000  -1.00000e+99
   4.80000  -4.60000  -1.00000e+99
   5.00000  -4.60000  -1.00000e+99
  -5.00000  -4.40000  -1.00000e+99
  -4.80000  -4.40000  -1.00000e+99
  -4.60000  -4.40000  -1.00000e+99
  -4.40000  -4.40000  -1.00000e+99
  -4.20000  -4.40000  -1.00000e+99
  -4.00000  -4.40000  -1.00000e+99
  -3.80000  -4.40000  -1.00000e+99
  -3.60000  -4.40000  -1.00000e+99
  -3.40000  -4.40000  -1.00000e+99
  -3.20000  -4.40000  -1.00000e+99
  -3.00000  -4.40000  -1.00000e+99
  -2.80000  -4.40000  -1.00000e+99
  -2.60000  -4.40000  -1.00000e+99
  -2.40000  -4.40000   4.60000e+01
  -2.20000  -4.40000   2.73842e+01
  -2.00000  -4.40000   3.02347e+01
  -1.80000  -4.40000   2.44694e+01
  -1.60000  -4.40000   2.08321e+01
  -1.40000  -4.40000   1.97325e+01
  -1.20000  -4.40000   1.71948e+01
  -1.00000  -4.40000   1.45468e+01
  -0.80000  -4.40000   1.23336e+01
  -0.60000  -4.40000   1.05897e+01
  -0.40000  -4.40000   9.21469e+00
  -0.20000  -4.40000   8.10557e+00
   0.00000  -4.40000   7.18420e+00
   0.20000  -4.40000   6.39525e+00
   0.40000  -4.40000   5.69896e+00
   0.60000  -4.40000   5.06495e+00
   0.80000  -4.40000   4.46772e+00
   1.00000  -4.40000   3.88459e+00
   1.20000  -4.40000   3.29898e+00
   1.40000  -4.40000   2.71661e+00
   1.60000  -4.40000   2.19224e+00
   1.80000  -4.40000   1.67058e+00
   2.00000  -4.40000   1.10792e+00
   2.20000  -4.40000   6.62310e-01
   2.40000  -4.40000   0.00000e+00
   2.60000  -4.40000  -1.00000e+99
   2.80000  -4.40000  -1.00000e+99
   3.00000  -4.40000  -1.00000e+99
   3.20000  -4.40000  -1.00000e+99
   3.40000  -4.40000  -1.00000e+99
   3.60000  -4.40000  -1.00000e+99
   3.80000  -4.40000  -1.00000e+99
   4.00000  -4.40000  -1.00000e+99
   4.20000  -4.40000  -1.00000e+99
   4.40000  -4.40000  -1.00000e+99
   4.60000  -4.40000  -1.00000e+99
   4.80000  -4.40000  -1.00000e+99
   5.00000  -4.40000  -1.00000e+99
  -5.00000  -4.20000  -1.00000e+99
  -4.80000  -4.20000  -1.00000e+99
  -4.60000  -4.20000  -1.00000e+99
  -4.40000  -4.20000  -1.00000e+99
  -4.20000  -4.20000  -1.00000e+99
  -4.00000  -4.20000  -1.00000e+99
  -3.80000  -4.20000  -1.00000e+99
  -3.60000  -4.20000  -1.00000e+99
  -3.40000  -4.20000  -1.00000e+99
  -3.20000  -4.20000  -1.00000e+99
  -3.00000  -4.20000  -1.00000e+99
  -2.80000  -4.20000   5.40000e+01
  -2.60000  -4.20000   3.38704e+01
  -2.40000  -4.20000   3.83261e+01
  -2.20000  -4.20000   3.33023e+01
  -2.00000  -4.20000   3.10851e+01
  -1.80000  -4.20000   2.75081e+01
  -1.60000  -4.20000   2.43849e+01
  -1.40000  -4.20000   2.20719e+01
  -1.20000  -4.20000   1.96487e+01
  -1.00000  -4.20000   1.72675e+01
  -0.80000  -4.20000   1.51341e+01
  -0.60000  -4.20000   1.33106e+01
  -0.40000  -4.20000   1.17733e+01
  -0.20000  -4.20000   1.04711e+01
   0.00000  -4.20000   9.35264e+00
   0.20000  -4.20000   8.37432e+00
   0.40000  -4.20000   7.50127e+00
   0.60000  -4.20000   6.70537e+00
   0.80000  -4.20000   5.96372e+00
   1.00000  -4.20000   5.25815e+00
   1.20000  -4.20000   4.57727e+00
   1.40000  -4.20000   3.92076e+00
   1.60000  -4.20000   3.29798e+00
   1.80000  -4.20000   2.69359e+00
   2.00000  -4.20000   2.09880e+00
   2.20000  -4.20000   1.54133e+00
   2.40000  -4.20000   9.79137e-01
   2.60000  -4.20000   5.56786e-01
