      x         y          u
   0.00000   0.00000   0.00000e+00
   0.25000   0.00000   0.00000e+00
   0.50000   0.00000   0.00000e+00
   0.75000   0.00000   0.00000e+00
   1.00000   0.00000   0.00000e+00
   1.25000   0.00000   0.00000e+00
   1.50000   0.00000   0.00000e+00
   1.75000   0.00000   0.00000e+00
   2.00000   0.00000   0.00000e+00
   2.25000   0.00000   0.00000e+00
   2.50000   0.00000   0.00000e+00
   2.75000   0.00000   0.00000e+00
   3.00000   0.00000   0.00000e+00
   3.25000   0.00000   0.00000e+00
   3.50000   0.00000   0.00000e+00
   3.75000   0.00000   0.00000e+00
   4.00000   0.00000   0.00000e+00
   4.25000   0.00000   0.00000e+00
   4.50000   0.00000   0.00000e+00
   4.75000   0.00000   0.00000e+00
   5.00000   0.00000   0.00000e+00
   5.25000   0.00000   0.00000e+00
   5.50000   0.00000   0.00000e+00
   5.75000   0.00000   0.00000e+00
   6.00000   0.00000   0.00000e+00
   6.25000   0.00000   0.00000e+00
   6.50000   0.00000   0.00000e+00
   6.75000   0.00000   0.00000e+00
   7.00000   0.00000   0.00000e+00
   7.25000   0.00000   0.00000e+00
   7.50000   0.00000   0.00000e+00
   7.75000   0.00000   0.00000e+00
   8.00000   0.00000   0.00000e+00
   8.25000   0.00000   0.00000e+00
   8.50000   0.00000   0.00000e+00
   8.75000   0.00000   0.00000e+00
   9.00000   0.00000   0.00000e+00
   9.25000   0.00000   0.00000e+00
   9.50000   0.00000   0.00000e+00
   9.75000   0.00000   0.00000e+00
  10.00000   0.00000   0.00000e+00
   0.00000   0.25000   7.84591e+00
   0.25000   0.25000   7.25115e+00
   0.50000   0.25000   6.70110e+00
   0.75000   0.25000   6.19237e+00
   1.00000   0.25000   5.72182e+00
   1.25000   0.25000   5.28655e+00
   1.50000   0.25000   4.88388e+00
   1.75000   0.25000   4.51133e+00
   2.00000   0.25000   4.16661e+00
   2.25000   0.25000   3.84758e+00
   2.50000   0.25000   3.55228e+00
   2.75000   0.25000   3.27889e+00
   3.00000   0.25000   3.02573e+00
   3.25000   0.25000   2.79124e+00
   3.50000   0.25000   2.57397e+00
   3.75000   0.25000   2.37258e+00
   4.00000   0.25000   2.18583e+00
   4.25000   0.25000   2.01257e+00
   4.50000   0.25000   1.85174e+00
   4.75000   0.25000   1.70233e+00
   5.00000   0.25000   1.56344e+00
   5.25000   0.25000   1.43420e+00
   5.50000   0.25000   1.31381e+00
   5.75000   0.25000   1.20154e+00
   6.00000   0.25000   1.09669e+00
   6.25000   0.25000   9.98621e-01
   6.50000   0.25000   9.06716e-01
   6.75000   0.25000   8.20414e-01
   7.00000   0.25000   7.39182e-01
   7.25000   0.25000   6.62518e-01
