lambda = 0.500000 t = 6.000000
      x         u       exact
   0.00000   0.00000   0.00000
   0.05000   0.00041   0.00042
   0.10000   0.00081   0.00083
   0.15000   0.00119   0.00122
   0.20000   0.00154   0.00158
   0.25000   0.00185   0.00190
   0.30000   0.00212   0.00217
   0.35000   0.00233   0.00239
   0.40000   0.00249   0.00255
   0.45000   0.00258   0.00265
   0.50000   0.00262   0.00268
   0.55000   0.00258   0.00265
   0.60000   0.00249   0.00255
   0.65000   0.00233   0.00239
   0.70000   0.00212   0.00217
   0.75000   0.00185   0.00190
   0.80000   0.00154   0.00158
   0.85000   0.00119   0.00122
   0.90000   0.00081   0.00083
   0.95000   0.00041   0.00042
   1.00000   0.00000   0.00000
